                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.94243,                  1.198,                 1.1282,                0.86079,                0.77789,                0.87282,                0.66842,                0.90402,                 1.4581,                 1.3786,               0.006436,               0.006436,               0.006436
                    110,                0.89344,                 1.1845,                 1.1217,                0.87469,                0.80812,                0.91998,                0.69786,                0.89001,                 1.2366,                 1.4033,               0.006403,               0.006403,               0.006403
                    111,                0.89261,                 1.1567,                 1.1096,                0.93398,                0.78781,                0.95063,                 0.7187,                0.94961,                 1.2647,                 1.4677,                0.00637,                0.00637,                0.00637
                    112,                0.92046,                 1.1882,                 1.1285,                0.87188,                0.89013,                0.94022,                0.70704,                0.92469,                 1.4462,                  1.448,               0.006337,               0.006337,               0.006337
                    113,                0.92928,                 1.2498,                 1.1441,                0.90621,                0.80377,                0.93662,                0.68624,                0.94936,                 1.3151,                 1.4992,               0.006304,               0.006304,               0.006304
                    114,                0.93207,                 1.2128,                 1.1235,                0.85066,                0.82661,                 0.9142,                0.62346,                 1.1461,                 1.5602,                 1.6982,               0.006271,               0.006271,               0.006271
                    115,                 0.9095,                 1.2003,                 1.1018,                 0.9178,                 0.6434,                0.88038,                0.61933,                 1.0264,                 1.6796,                 1.6079,               0.006238,               0.006238,               0.006238
                    116,                0.89452,                 1.1738,                 1.1124,                0.79583,                0.78307,                0.86448,                0.58627,                   1.04,                 1.5027,                 1.5439,               0.006205,               0.006205,               0.006205
                    117,                0.91808,                 1.1543,                    1.1,                0.87379,                0.77558,                0.85754,                0.56201,                 1.0859,                 1.5217,                 1.5292,               0.006172,               0.006172,               0.006172
                    118,                0.85615,                 1.1096,                 1.0687,                0.93928,                0.66906,                0.85223,                0.60011,                  1.049,                 1.4931,                  1.481,               0.006139,               0.006139,               0.006139
                    119,                0.90496,                 1.1624,                 1.1068,                0.92961,                0.74437,                0.85329,                0.64353,                 0.9627,                 1.4533,                  1.395,               0.006106,               0.006106,               0.006106
